tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31,tg_32,tg_33
3.04433e-03,2.31100e-03,1.61061e-03,1.03594e-03,7.06793e-04,5.06395e-04,3.33580e-04,2.04757e-04,1.35246e-04,9.51115e-05,6.05801e-05,3.76168e-05,2.56584e-05,1.86933e-05,1.26450e-05,8.29228e-06,5.83259e-06,4.29473e-06,2.93916e-06,1.84702e-06,1.24675e-06,8.82013e-07,5.70827e-07,3.39675e-07,2.18337e-07,1.48931e-07,8.99076e-08,5.17445e-08,3.24680e-08,2.16886e-08,1.29271e-08,7.28787e-09,4.51455e-09,2.99102e-09
3.07662e-03,2.33394e-03,1.62505e-03,1.04412e-03,7.11807e-04,5.09684e-04,3.35530e-04,2.05826e-04,1.35903e-04,9.55613e-05,6.08766e-05,3.78238e-05,2.58182e-05,1.88213e-05,1.27392e-05,8.35605e-06,5.87662e-06,4.32579e-06,2.95878e-06,1.85792e-06,1.25326e-06,8.86109e-07,5.73086e-07,3.40764e-07,2.18912e-07,1.49255e-07,9.00551e-08,5.18031e-08,3.24929e-08,2.16992e-08,1.29295e-08,7.28727e-09,4.51338e-09,2.98987e-09
3.10631e-03,2.37879e-03,1.67086e-03,1.08073e-03,7.39099e-04,5.29942e-04,3.49034e-04,2.13966e-04,1.41030e-04,9.88903e-05,6.26170e-05,3.85187e-05,2.60257e-05,1.88046e-05,1.26043e-05,8.20891e-06,5.75722e-06,4.23596e-06,2.90083e-06,1.82681e-06,1.23593e-06,8.76228e-07,5.68589e-07,3.39355e-07,2.18641e-07,1.49414e-07,9.03936e-08,5.21286e-08,3.27549e-08,2.19025e-08,1.30679e-08,7.37303e-09,4.56917e-09,3.02778e-09
3.05010e-03,2.31115e-03,1.60803e-03,1.03305e-03,7.04325e-04,5.04396e-04,3.32153e-04,2.03833e-04,1.34530e-04,9.44227e-05,5.98083e-05,3.67431e-05,2.47706e-05,1.78586e-05,1.19435e-05,7.77314e-06,5.45761e-06,4.02357e-06,2.76480e-06,1.74958e-06,1.18868e-06,8.45791e-07,5.51220e-07,3.30557e-07,2.13758e-07,1.46506e-07,8.89433e-08,5.14641e-08,3.24173e-08,2.17179e-08,1.29851e-08,7.34065e-09,4.55524e-09,3.02150e-09
3.04469e-03,2.31054e-03,1.60948e-03,1.03466e-03,7.05694e-04,5.05512e-04,3.32947e-04,2.04359e-04,1.35016e-04,9.50044e-05,6.06009e-05,3.77254e-05,2.57983e-05,1.88353e-05,1.27687e-05,8.38414e-06,5.89836e-06,4.34174e-06,2.96885e-06,1.86322e-06,1.25617e-06,8.87751e-07,5.73819e-07,3.40983e-07,2.18945e-07,1.49220e-07,8.99929e-08,5.17455e-08,3.24472e-08,2.16641e-08,1.29058e-08,7.27263e-09,4.50389e-09,2.98344e-09
3.05128e-03,2.31978e-03,1.61988e-03,1.04347e-03,7.12035e-04,5.09824e-04,3.35368e-04,2.05405e-04,1.35303e-04,9.47920e-05,5.98853e-05,3.66714e-05,2.46504e-05,1.77286e-05,1.18252e-05,7.68120e-06,5.38905e-06,3.97268e-06,2.73096e-06,1.72982e-06,1.17639e-06,8.37789e-07,5.46606e-07,3.28199e-07,2.12443e-07,1.45720e-07,8.85510e-08,5.12849e-08,3.23269e-08,2.16691e-08,1.29638e-08,7.33271e-09,4.55209e-09,3.02028e-09
3.04414e-03,2.31042e-03,1.60893e-03,1.03207e-03,7.00901e-04,4.99285e-04,3.26193e-04,1.98777e-04,1.31343e-04,9.30894e-05,6.05998e-05,3.89708e-05,2.74269e-05,2.04483e-05,1.41065e-05,9.31874e-06,6.53149e-06,4.77166e-06,3.22238e-06,1.98836e-06,1.32153e-06,9.22740e-07,5.88082e-07,3.44210e-07,2.18514e-07,1.47623e-07,8.81418e-08,5.02244e-08,3.12999e-08,2.08073e-08,1.23429e-08,6.93361e-09,4.28744e-09,2.83833e-09
3.04433e-03,2.31100e-03,1.61061e-03,1.03595e-03,7.06840e-04,5.06541e-04,3.34007e-04,2.05758e-04,1.36823e-04,9.70787e-05,6.27324e-05,3.94882e-05,2.70255e-05,1.95665e-05,1.29538e-05,8.17583e-06,5.53141e-06,3.93204e-06,2.58034e-06,1.54886e-06,1.01144e-06,6.97892e-07,4.40091e-07,2.55660e-07,1.61856e-07,1.09333e-07,6.54554e-08,3.75211e-08,2.35497e-08,1.57718e-08,9.45868e-09,5.38584e-09,3.37106e-09,2.25610e-09
3.04433e-03,2.31100e-03,1.61061e-03,1.03594e-03,7.06793e-04,5.06395e-04,3.33580e-04,2.04755e-04,1.35240e-04,9.50961e-05,6.05453e-05,3.75561e-05,2.55821e-05,1.86140e-05,1.25773e-05,8.25060e-06,5.81440e-06,4.29291e-06,2.95018e-06,1.86391e-06,1.26331e-06,8.96437e-07,5.81841e-07,3.46973e-07,2.23212e-07,1.52269e-07,9.18626e-08,5.27921e-08,3.30703e-08,2.20546e-08,1.31156e-08,7.37537e-09,4.55944e-09,3.01576e-09
3.04433e-03,2.31100e-03,1.61061e-03,1.03594e-03,7.06793e-04,5.06395e-04,3.33580e-04,2.04757e-04,1.35246e-04,9.51115e-05,6.05801e-05,3.76166e-05,2.56578e-05,1.86917e-05,1.26416e-05,8.28629e-06,5.82490e-06,4.28646e-06,2.93144e-06,1.84139e-06,1.24326e-06,8.80235e-07,5.70670e-07,3.40622e-07,2.19662e-07,1.50311e-07,9.11449e-08,5.27164e-08,3.32109e-08,2.22573e-08,1.33155e-08,7.53244e-09,4.67634e-09,3.10262e-09
