tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31
1.55011e-02,1.00934e-02,5.90935e-03,3.91700e-03,2.52692e-03,1.63008e-03,1.17307e-03,9.00078e-04,6.54941e-04,4.49977e-04,3.24863e-04,2.42575e-04,1.65940e-04,1.04282e-04,6.91515e-05,4.83117e-05,2.99247e-05,1.73431e-05,1.09221e-05,7.30603e-06,4.28471e-06,2.38882e-06,1.47807e-06,9.65723e-07,5.80437e-07,3.25524e-07,2.00707e-07,1.33981e-07,8.38680e-08,4.82614e-08,3.06714e-08,2.11853e-08
1.53833e-02,9.92799e-03,5.89113e-03,3.93811e-03,2.56191e-03,1.66363e-03,1.20129e-03,9.23237e-04,6.72189e-04,4.61403e-04,3.32532e-04,2.47883e-04,1.69212e-04,1.06071e-04,7.01849e-05,4.89483e-05,3.02561e-05,1.74949e-05,1.09999e-05,7.34985e-06,4.30389e-06,2.39618e-06,1.48146e-06,9.67289e-07,5.81018e-07,3.25755e-07,2.00814e-07,1.34036e-07,8.38979e-08,4.82781e-08,3.06831e-08,2.11948e-08
1.62593e-02,1.06950e-02,5.78376e-03,3.63456e-03,2.23238e-03,1.38233e-03,9.73458e-04,7.39584e-04,5.36635e-04,3.71083e-04,2.70992e-04,2.04668e-04,1.42127e-04,9.09685e-05,6.12715e-05,4.33310e-05,2.72267e-05,1.60342e-05,1.02170e-05,6.89328e-06,4.08904e-06,2.30296e-06,1.43294e-06,9.40955e-07,5.68584e-07,3.20131e-07,1.97932e-07,1.32339e-07,8.28795e-08,4.77122e-08,3.03453e-08,2.09786e-08
1.56810e-02,1.02837e-02,6.07991e-03,4.01438e-03,2.53631e-03,1.58961e-03,1.12074e-03,8.49475e-04,6.13090e-04,4.20784e-04,3.05193e-04,2.29116e-04,1.57923e-04,1.00216e-04,6.70202e-05,4.71370e-05,2.94296e-05,1.72072e-05,1.09053e-05,7.32740e-06,4.32220e-06,2.42125e-06,1.50133e-06,9.82551e-07,5.91316e-07,3.31598e-07,2.04321e-07,1.36260e-07,8.51540e-08,4.88957e-08,3.10266e-08,2.14113e-08
1.55011e-02,1.00930e-02,5.90779e-03,3.91310e-03,2.51807e-03,1.61411e-03,1.15288e-03,8.79146e-04,6.37533e-04,4.40408e-04,3.21487e-04,2.42797e-04,1.68668e-04,1.08042e-04,7.28089e-05,5.14994e-05,3.23533e-05,1.90407e-05,1.21192e-05,8.16427e-06,4.82890e-06,2.70689e-06,1.67553e-06,1.09400e-06,6.55838e-07,3.65571e-07,2.23800e-07,1.48332e-07,9.20228e-08,5.23605e-08,3.29981e-08,2.26737e-08
1.55011e-02,1.00934e-02,5.90953e-03,3.91751e-03,2.52826e-03,1.63294e-03,1.17723e-03,9.04813e-04,6.59272e-04,4.52716e-04,3.26162e-04,2.42928e-04,1.65518e-04,1.03435e-04,6.82520e-05,4.74974e-05,2.92856e-05,1.68881e-05,1.06001e-05,7.07657e-06,4.14220e-06,2.30953e-06,1.43210e-06,9.38103e-07,5.65998e-07,3.19068e-07,1.97734e-07,1.32585e-07,8.33781e-08,4.82261e-08,3.07487e-08,2.12696e-08
1.55011e-02,1.00934e-02,5.90935e-03,3.91700e-03,2.52692e-03,1.63008e-03,1.17307e-03,9.00063e-04,6.54898e-04,4.49889e-04,3.24742e-04,2.42437e-04,1.65797e-04,1.04153e-04,6.90487e-05,4.82355e-05,2.98815e-05,1.73282e-05,1.09242e-05,7.31787e-06,4.30302e-06,2.40869e-06,1.49656e-06,9.82002e-07,5.93440e-07,3.34753e-07,2.07430e-07,1.38974e-07,8.72270e-08,5.03144e-08,3.20123e-08,2.21114e-08
1.55011e-02,1.00934e-02,5.90935e-03,3.91700e-03,2.52692e-03,1.63008e-03,1.17307e-03,9.00078e-04,6.54941e-04,4.49977e-04,3.24865e-04,2.42582e-04,1.65956e-04,1.04310e-04,6.91908e-05,4.83581e-05,2.99732e-05,1.73841e-05,1.09525e-05,7.32679e-06,4.29436e-06,2.38892e-06,1.47318e-06,9.58701e-07,5.72764e-07,3.18613e-07,1.94920e-07,1.29287e-07,8.04451e-08,4.59931e-08,2.91110e-08,2.00741e-08
1.52167e-02,1.06549e-02,6.25098e-03,4.11339e-03,2.62776e-03,1.67928e-03,1.20142e-03,9.18464e-04,6.66272e-04,4.56789e-04,3.29493e-04,2.45898e-04,1.68122e-04,1.05603e-04,7.00039e-05,4.88971e-05,3.02819e-05,1.75462e-05,1.10477e-05,7.38857e-06,4.33182e-06,2.41426e-06,1.49337e-06,9.75367e-07,5.85910e-07,3.28342e-07,2.02301e-07,1.34968e-07,8.44405e-08,4.85577e-08,3.08406e-08,2.12919e-08
1.60999e-02,9.72303e-03,5.57605e-03,3.70024e-03,2.40636e-03,1.56776e-03,1.13595e-03,8.75458e-04,6.39448e-04,4.40470e-04,3.18320e-04,2.37834e-04,1.62794e-04,1.02354e-04,6.78955e-05,4.74430e-05,2.93907e-05,1.70370e-05,1.07319e-05,7.18057e-06,4.21280e-06,2.34989e-06,1.45468e-06,9.50969e-07,5.72064e-07,3.21209e-07,1.98268e-07,1.32471e-07,8.29942e-08,4.78105e-08,3.04139e-08,2.10229e-08
