tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20
1.06098e-02,6.69826e-03,4.47401e-03,2.72837e-03,1.53120e-03,9.42563e-04,6.23063e-04,3.75654e-04,2.09125e-04,1.28431e-04,8.48252e-05,5.09128e-05,2.83841e-05,1.74002e-05,1.15204e-05,6.81399e-06,3.89719e-06,2.47592e-06,1.69393e-06,1.05328e-06,6.30365e-07
1.03889e-02,6.51738e-03,4.33264e-03,2.63013e-03,1.47004e-03,9.02771e-04,5.95975e-04,3.58976e-04,1.99770e-04,1.22715e-04,8.10859e-05,4.87088e-05,2.71912e-05,1.66935e-05,1.10703e-05,6.56512e-06,3.76848e-06,2.40233e-06,1.64847e-06,1.02867e-06,6.17629e-07
1.08764e-02,7.05005e-03,4.81493e-03,3.00947e-03,1.73087e-03,1.08355e-03,7.24588e-04,4.41716e-04,2.48137e-04,1.53112e-04,1.01371e-04,6.09186e-05,3.39319e-05,2.07443e-05,1.36784e-05,8.02486e-06,4.53195e-06,2.84175e-06,1.92081e-06,1.17617e-06,6.93655e-07
1.06132e-02,6.69936e-03,4.47319e-03,2.72594e-03,1.52822e-03,9.39976e-04,6.21109e-04,3.74533e-04,2.08763e-04,1.28472e-04,8.50576e-05,5.12384e-05,2.86941e-05,1.76470e-05,1.17035e-05,6.92130e-06,3.94505e-06,2.49359e-06,1.69733e-06,1.04885e-06,6.24707e-07
1.06103e-02,6.69904e-03,4.47491e-03,2.72924e-03,1.53182e-03,9.42904e-04,6.23195e-04,3.75602e-04,2.08963e-04,1.28243e-04,8.46427e-05,5.07576e-05,2.82706e-05,1.73209e-05,1.14658e-05,6.78387e-06,3.88399e-06,2.47064e-06,1.69227e-06,1.05361e-06,6.31139e-07
1.06098e-02,6.69831e-03,4.47411e-03,2.72858e-03,1.53154e-03,9.42955e-04,6.23455e-04,3.75991e-04,2.09366e-04,1.28599e-04,8.49443e-05,5.09884e-05,2.84205e-05,1.74066e-05,1.15038e-05,6.77433e-06,3.84526e-06,2.42360e-06,1.64659e-06,1.01588e-06,6.04697e-07
1.06098e-02,6.69826e-03,4.47401e-03,2.72837e-03,1.53119e-03,9.42503e-04,6.22937e-04,3.75412e-04,2.08737e-04,1.27967e-04,8.43520e-05,5.05071e-05,2.81276e-05,1.72851e-05,1.15075e-05,6.89085e-06,4.01321e-06,2.59057e-06,1.79315e-06,1.12637e-06,6.76350e-07
1.06098e-02,6.69826e-03,4.47401e-03,2.72837e-03,1.53121e-03,9.42563e-04,6.23063e-04,3.75655e-04,2.09130e-04,1.28447e-04,8.48591e-05,5.09798e-05,2.84933e-05,1.75346e-05,1.16597e-05,6.93649e-06,3.98005e-06,2.52145e-06,1.71120e-06,1.04496e-06,6.07800e-07
1.06098e-02,6.69826e-03,4.47401e-03,2.72837e-03,1.53120e-03,9.42563e-04,6.23063e-04,3.75654e-04,2.09125e-04,1.28431e-04,8.48251e-05,5.09126e-05,2.83832e-05,1.73981e-05,1.15167e-05,6.80785e-06,3.88902e-06,2.46730e-06,1.68596e-06,1.04725e-06,6.27046e-07
1.06098e-02,6.69826e-03,4.47401e-03,2.72837e-03,1.53120e-03,9.42563e-04,6.23063e-04,3.75654e-04,2.09125e-04,1.28431e-04,8.48252e-05,5.09128e-05,2.83841e-05,1.74002e-05,1.15204e-05,6.81398e-06,3.89717e-06,2.47587e-06,1.69385e-06,1.05316e-06,6.30198e-07
9.77018e-03,6.17732e-03,4.13293e-03,2.52652e-03,1.42253e-03,8.78288e-04,5.82131e-04,3.52152e-04,1.96811e-04,1.21257e-04,8.02999e-05,4.83504e-05,2.70500e-05,1.66308e-05,1.10388e-05,6.55123e-06,3.76165e-06,2.39784e-06,1.64512e-06,1.02636e-06,6.16182e-07
5.90317e-03,3.57513e-03,2.33720e-03,1.41359e-03,7.95477e-04,4.95808e-04,3.33064e-04,2.05447e-04,1.17873e-04,7.43485e-05,5.02334e-05,3.10085e-05,1.78505e-05,1.12495e-05,7.63418e-06,4.67157e-06,2.78028e-06,1.82686e-06,1.28498e-06,8.25184e-07,5.08532e-07
1.06098e-02,6.69826e-03,4.47401e-03,2.72837e-03,1.53120e-03,9.42563e-04,6.23063e-04,3.75654e-04,2.09125e-04,1.28431e-04,8.48252e-05,5.09128e-05,2.83841e-05,1.74002e-05,1.15204e-05,6.81399e-06,3.89719e-06,2.47592e-06,1.69393e-06,1.05328e-06,6.30365e-07
1.04989e-02,6.60930e-03,4.40971e-03,2.69375e-03,1.52396e-03,9.50232e-04,6.38001e-04,3.94075e-04,2.26768e-04,1.43457e-04,9.71594e-05,6.00655e-05,3.44960e-05,2.15849e-05,1.44847e-05,8.66148e-06,4.97239e-06,3.14849e-06,2.14007e-06,1.31545e-06,7.76084e-07
1.06057e-02,6.68951e-03,4.46075e-03,2.71070e-03,1.51180e-03,9.25073e-04,6.08990e-04,3.66760e-04,2.05832e-04,1.28602e-04,8.68895e-05,5.41126e-05,3.17333e-05,2.03403e-05,1.39656e-05,8.60270e-06,5.08971e-06,3.29369e-06,2.27421e-06,1.42087e-06,8.49205e-07
1.06099e-02,6.69850e-03,4.47456e-03,2.72954e-03,1.53323e-03,9.45131e-04,6.25810e-04,3.78213e-04,2.11025e-04,1.29639e-04,8.54734e-05,5.10267e-05,2.81305e-05,1.70161e-05,1.11114e-05,6.43999e-06,3.59493e-06,2.23693e-06,1.50410e-06,9.15963e-07,5.37438e-07
1.06098e-02,6.69826e-03,4.47401e-03,2.72837e-03,1.53121e-03,9.42566e-04,6.23072e-04,3.75686e-04,2.09215e-04,1.28598e-04,8.50673e-05,5.12356e-05,2.87513e-05,1.77501e-05,1.18201e-05,7.01975e-06,3.99509e-06,2.49970e-06,1.67230e-06,9.98871e-07,5.65477e-07
1.06098e-02,6.69826e-03,4.47401e-03,2.72837e-03,1.53120e-03,9.42563e-04,6.23063e-04,3.75654e-04,2.09125e-04,1.28431e-04,8.48253e-05,5.09131e-05,2.83851e-05,1.74021e-05,1.15232e-05,6.81777e-06,3.90139e-06,2.47979e-06,1.69712e-06,1.05535e-06,6.31223e-07
1.06098e-02,6.69826e-03,4.47401e-03,2.72837e-03,1.53120e-03,9.42563e-04,6.23063e-04,3.75654e-04,2.09124e-04,1.28431e-04,8.48251e-05,5.09127e-05,2.83840e-05,1.74000e-05,1.15200e-05,6.81314e-06,3.89541e-06,2.47314e-06,1.69035e-06,1.04905e-06,6.26189e-07
1.06098e-02,6.69826e-03,4.47401e-03,2.72837e-03,1.53120e-03,9.42562e-04,6.23063e-04,3.75654e-04,2.09124e-04,1.28431e-04,8.48247e-05,5.09123e-05,2.83836e-05,1.73997e-05,1.15199e-05,6.81343e-06,3.89644e-06,2.47475e-06,1.69214e-06,1.05032e-06,6.25919e-07
5.23070e-03,3.18796e-03,2.09111e-03,1.26683e-03,7.14044e-04,4.46347e-04,3.01433e-04,1.88320e-04,1.11042e-04,7.26820e-05,5.13067e-05,3.39452e-05,2.15027e-05,1.47580e-05,1.07303e-05,7.07326e-06,4.44472e-06,2.98058e-06,2.09649e-06,1.32128e-06,7.83190e-07
4.73603e-03,2.88548e-03,1.89621e-03,1.15495e-03,6.57564e-04,4.15704e-04,2.83971e-04,1.80286e-04,1.08596e-04,7.24394e-05,5.19429e-05,3.49427e-05,2.24204e-05,1.54628e-05,1.12469e-05,7.38790e-06,4.61160e-06,3.07186e-06,2.14802e-06,1.34381e-06,7.90618e-07
4.76891e-03,2.91848e-03,1.92824e-03,1.18399e-03,6.81400e-04,4.34991e-04,2.99753e-04,1.92470e-04,1.17526e-04,7.92325e-05,5.72330e-05,3.87164e-05,2.48558e-05,1.70756e-05,1.23499e-05,8.03693e-06,4.96071e-06,3.27323e-06,2.27104e-06,1.40739e-06,8.20308e-07
4.83995e-03,2.96043e-03,1.94856e-03,1.18593e-03,6.72698e-04,4.22985e-04,2.87149e-04,1.80535e-04,1.07171e-04,7.04815e-05,4.99210e-05,3.31422e-05,2.10621e-05,1.44916e-05,1.05583e-05,6.97823e-06,4.39744e-06,2.95561e-06,2.08277e-06,1.31553e-06,7.81459e-07
4.83992e-03,2.96031e-03,1.94831e-03,1.18553e-03,6.72330e-04,4.22970e-04,2.87677e-04,1.81846e-04,1.09156e-04,7.25956e-05,5.18213e-05,3.45081e-05,2.17165e-05,1.46531e-05,1.04348e-05,6.66029e-06,4.03245e-06,2.62385e-06,1.80231e-06,1.10561e-06,6.39830e-07
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72082e-04,4.22354e-04,2.86605e-04,1.80185e-04,1.07081e-04,7.05678e-05,5.01039e-05,3.33720e-05,2.12750e-05,1.46609e-05,1.06864e-05,7.05877e-06,4.43992e-06,2.97688e-06,2.09213e-06,1.31591e-06,7.77312e-07
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72082e-04,4.22354e-04,2.86604e-04,1.80184e-04,1.07077e-04,7.05594e-05,5.00907e-05,3.33533e-05,2.12536e-05,1.46415e-05,1.06711e-05,7.05012e-06,4.43770e-06,2.97833e-06,2.09539e-06,1.32007e-06,7.81298e-07
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72083e-04,4.22355e-04,2.86605e-04,1.80184e-04,1.07079e-04,7.05632e-05,5.00982e-05,3.33677e-05,2.12775e-05,1.46721e-05,1.07048e-05,7.08359e-06,4.46575e-06,2.99953e-06,2.11032e-06,1.32790e-06,7.83393e-07
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72082e-04,4.22354e-04,2.86604e-04,1.80184e-04,1.07077e-04,7.05606e-05,5.00927e-05,3.33547e-05,2.12510e-05,1.46329e-05,1.06570e-05,7.03027e-06,4.41503e-06,2.95580e-06,2.07437e-06,1.30220e-06,7.67834e-07
5.31577e-03,3.23058e-03,2.11477e-03,1.27892e-03,7.19851e-04,4.49729e-04,3.03706e-04,1.89809e-04,1.12035e-04,7.34227e-05,5.18895e-05,3.43751e-05,2.17952e-05,1.49606e-05,1.08739e-05,7.16123e-06,4.49380e-06,3.00962e-06,2.11456e-06,1.33083e-06,7.87745e-07
1.02145e-02,6.59875e-03,4.48858e-03,2.78882e-03,1.59207e-03,9.90687e-04,6.59683e-04,4.01024e-04,2.25848e-04,1.40758e-04,9.47548e-05,5.88730e-05,3.47337e-05,2.25988e-05,1.58093e-05,1.00192e-05,6.09792e-06,4.00900e-06,2.78155e-06,1.72751e-06,1.01015e-06
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72082e-04,4.22354e-04,2.86604e-04,1.80184e-04,1.07078e-04,7.05610e-05,5.00930e-05,3.33551e-05,2.12514e-05,1.46335e-05,1.06580e-05,7.03255e-06,4.41960e-06,2.96263e-06,2.08290e-06,1.31184e-06,7.77038e-07
4.87004e-03,2.99155e-03,1.97624e-03,1.20594e-03,6.82496e-04,4.25858e-04,2.86007e-04,1.76758e-04,1.02616e-04,6.62880e-05,4.63229e-05,3.03171e-05,1.90035e-05,1.29361e-05,9.34186e-06,6.10461e-06,3.80111e-06,2.53116e-06,1.77098e-06,1.10989e-06,6.55099e-07
4.84011e-03,2.96110e-03,1.95013e-03,1.18927e-03,6.78526e-04,4.30531e-04,2.95431e-04,1.88604e-04,1.13638e-04,7.49937e-05,5.26914e-05,3.40604e-05,2.05080e-05,1.32837e-05,9.13381e-06,5.58468e-06,3.24059e-06,2.04439e-06,1.37259e-06,8.21700e-07,4.66243e-07
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72080e-04,4.22343e-04,2.86572e-04,1.80099e-04,1.06895e-04,7.02923e-05,4.97727e-05,3.30241e-05,2.09788e-05,1.44469e-05,1.05479e-05,7.00575e-06,4.44936e-06,3.01464e-06,2.14052e-06,1.36589e-06,8.20591e-07
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72082e-04,4.22354e-04,2.86603e-04,1.80178e-04,1.07055e-04,7.05067e-05,5.00021e-05,3.32167e-05,2.10793e-05,1.44635e-05,1.05113e-05,6.93298e-06,4.37361e-06,2.95212e-06,2.09326e-06,1.33674e-06,8.06306e-07
