time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
1.255000e-05,7.276462830e-05,7.373640000e-05,2.488840000e-08,3.686820000e-06,2.606748468e+02,2.585300000e+02
1.456000e-05,2.824311183e-05,3.273160000e-05,4.506400000e-08,1.636580000e-06,3.824501991e+02,3.468200000e+02
1.744000e-05,3.327952358e-06,4.150360000e-06,5.547000000e-08,2.075180000e-07,1.177850070e+03,1.016830000e+03
2.146000e-05,-5.562831493e-06,-7.712480000e-06,1.726880000e-08,3.856240000e-07,-5.918414995e+02,-4.758400000e+02
2.549000e-05,-6.796080478e-06,-7.500920000e-06,1.725160000e-09,3.750460000e-07,-3.887438030e+02,-3.640500000e+02
2.950000e-05,-6.034582596e-06,-7.621320000e-06,1.369292000e-08,3.810660000e-07,-3.298506642e+02,-2.822400000e+02
3.528000e-05,-4.363347815e-06,-3.789160000e-06,1.656360000e-09,1.894580000e-07,-3.038724755e+02,-3.338800000e+02
4.330000e-05,-2.551947015e-06,-2.681480000e-06,1.002932000e-08,1.340740000e-07,-3.088336523e+02,-2.988100000e+02
5.140000e-05,-1.486524441e-06,-1.412292000e-06,5.615800000e-09,7.061460000e-08,-3.327098402e+02,-3.442500000e+02
5.941000e-05,-8.722560618e-07,-7.683240000e-07,3.565560000e-09,3.841620000e-08,-3.728982071e+02,-4.058600000e+02
7.095000e-05,-3.844709817e-07,-3.458920000e-07,2.289320000e-09,1.729460000e-08,-4.789488881e+02,-5.138900000e+02
8.707000e-05,-1.159766262e-07,-1.274176000e-07,1.850720000e-09,6.370880000e-09,-7.569914810e+02,-7.108800000e+02
